sentence,label,prediction,response
it 's a charming and often affecting journey . ,1,1,positive
unflinchingly bleak and desperate ,0,0,negative
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,1,positive
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,1,Positive.
"it 's slow -- very , very slow . ",0,0,negative
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,1,positive
a sometimes tedious film . ,0,0,negative
or doing last year 's taxes with your ex-wife . ,0,0,negative
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,1,Positive
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0,negative
